               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034443,            0.018231,           0.0061163,             0.86934,             0.85872,             0.89352,             0.57741,            0.026733,             0.01061,           0.0029816,            0.002872,            0.002872,            0.002872
                  38,            0.035469,            0.015867,           0.0051219,              0.8705,             0.84819,             0.90185,              0.5862,            0.026496,            0.010404,           0.0029759,            0.002674,            0.002674,            0.002674
                  39,            0.034297,            0.017615,            0.005936,             0.90837,             0.87238,             0.92142,             0.59632,             0.02599,           0.0097885,           0.0027281,            0.002476,            0.002476,            0.002476
                  40,            0.032084,            0.017062,           0.0069919,             0.91592,             0.90165,             0.93076,             0.62034,            0.026067,           0.0095224,           0.0027384,            0.002278,            0.002278,            0.002278
                  41,            0.029782,            0.017457,           0.0083061,             0.92659,             0.91135,             0.92998,             0.62377,            0.025408,           0.0094303,           0.0028405,             0.00208,             0.00208,             0.00208
                  42,            0.028469,            0.014502,           0.0072356,              0.9156,             0.89932,             0.92717,             0.64374,            0.025401,           0.0096672,           0.0027884,            0.001882,            0.001882,            0.001882
                  43,            0.027091,            0.014798,           0.0065152,             0.91375,             0.88724,             0.92422,             0.64599,            0.025886,            0.009463,           0.0027984,            0.001684,            0.001684,            0.001684
                  44,            0.029236,            0.015021,           0.0045606,             0.94784,             0.87722,             0.93137,             0.65536,             0.02635,           0.0091351,           0.0027225,            0.001486,            0.001486,            0.001486
                  45,            0.027863,            0.016064,           0.0055462,             0.94356,             0.89175,             0.92923,             0.66286,            0.025879,           0.0091119,           0.0025974,            0.001288,            0.001288,            0.001288
                  46,            0.032671,            0.014615,           0.0055301,             0.95179,             0.91837,             0.93135,             0.67671,             0.02493,           0.0090153,           0.0025398,             0.00109,             0.00109,             0.00109
                  47,            0.026712,             0.01632,           0.0042495,             0.93602,             0.91695,             0.92919,             0.67747,            0.024855,           0.0089532,           0.0024351,            0.000892,            0.000892,            0.000892
                  48,            0.030816,            0.015858,           0.0075669,             0.93339,             0.92362,             0.92768,               0.675,            0.024946,           0.0089287,            0.002319,            0.000694,            0.000694,            0.000694
                  49,            0.029476,            0.016443,           0.0049582,             0.93861,             0.92361,             0.92888,             0.67352,            0.025375,           0.0088531,           0.0022634,            0.000496,            0.000496,            0.000496
